label_headers,freq
職業-軍警公教,10.0
職業-資訊業,3.0
職業-金融業,6.0
職業-製造業,16.0
職業-服務業,15.0
職業-醫療服務業,7.0
職業-學生,6.0
職業-退休人士,15.0
職業-餐飲旅館/旅遊業,0.0
職業-量販店,0.0
職業-政治性職務,0.0
職業-營造/不動產業,3.0
職業-進出口貿易,1.0
職業-專業服務,2.0
職業-民間匯兌業/虛擬貨幣產業,0.0
職業-武器設備業,0.0
職業-非營利機構,0.0
職業-高單價物品之買賣或拍賣,0.0
職業-當鋪/銀樓,0.0
職業-學齡前,3.0
職業-家管,10.0
職業-待業中,0.0
職業-自營商,1.0
職業-其他,3.0
職務-基層職員,40.0
職務-專業人員,16.0
職務-技術人員,6.0
職務-中階主管,11.0
職務-高階主管,2.0
職務-企業負責人,2.0
職務-其他,24.0
學歷-國中(含以下),12.0
學歷-高中,16.0
學歷-專科,13.0
學歷-大學,43.0
學歷-碩士/博士 ,17.0
婚姻狀況-未婚,28.0
婚姻狀況-已婚有子女,45.0
婚姻狀況-已婚無子女,2.0
投資目的-閒置資金運用,31.0
投資目的-節稅,0.0
投資目的-儲備退休金,27.0
投資目的-子女教育基金,10.0
投資目的-追求長期投資報酬,30.0
投資目的-資金調度,3.0
投資目的-其他,0.0
投資基金來源-薪資收入,61.0
投資基金來源-退休金,15.0
投資基金來源-投資收益,11.0
投資基金來源-繼承/贈與,3.0
投資基金來源-借貸,0.0
投資基金來源-出售資產,0.0
投資基金來源-租賃收入,3.0
投資基金來源-自營收入,4.0
投資基金來源-其他,4.0
家庭年收入-50 萬元以下,23.0
家庭年收入-50 萬元~100 萬元,58.0
家庭年收入-100 萬元~300 萬元,20.0
家庭年收入-300 萬元~500 萬元,0.0
家庭年收入-500 萬元以上,0.0
家庭年支出-50 萬元以下,56.0
家庭年支出-50 萬元~100 萬元,40.0
家庭年支出-100 萬元~300 萬元,5.0
家庭年支出-300 萬元~500 萬元,0.0
家庭年支出-500 萬元以上,0.0
預計(單筆)投資金額-100 萬元以下,96.0
預計(單筆)投資金額-100 萬元~300 萬元,5.0
預計(單筆)投資金額-300 萬元以上,0.0
特殊身分客戶-70 歲以上,6.0
特殊身分客戶-國中畢業以下,3.0
特殊身分客戶-領有全民健康保險重大傷病證明,4.0
年齡-75 歲以上/20歲以下,9.0
年齡-66~75歲,8.0
年齡-56~65歲,16.0
年齡-46~55歲,33.0
年齡-20~45歲,35.0
曾經持有投資產品-現金、存款、定存、貨幣型基金與保本型基金,64.0
曾經持有投資產品-債券、投資等級之債券基金,8.0
曾經持有投資產品-外幣存款、非投資等級之債券基金、平衡型基金、新興市場債券基金,7.0
曾經持有投資產品-股票、全球股票基金、歐美成熟國家股票基金、投資型保單,19.0
曾經持有投資產品-新興市場股票基金、單一新興國家股票基金、衍生性商品,3.0
基金投資目的偏好-現金、存款、定存、貨幣型基金與保本型基金,23.0
基金投資目的偏好-債券、投資等級之債券基金,9.0
基金投資目的偏好-外幣存款、非投資等級之債券基金、平衡型基金、新興市場債券基金,25.0
基金投資目的偏好-股票、全球股票基金、歐美成熟國家股票基金、投資型保單,28.0
基金投資目的偏好-新興市場股票基金、單一新興國家股票基金、衍生性商品,16.0
備用金相當家庭開銷-無備用金,8.0
備用金相當家庭開銷-3 個月以下,41.0
備用金相當家庭開銷-介於3~6 個月,40.0
備用金相當家庭開銷-介於6~9 個月,8.0
備用金相當家庭開銷-超過9 個月,4.0
基金投資方式-不曾投資過,0.0
基金投資方式-只買過貨幣型基金,5.0
基金投資方式-定時定額,76.0
基金投資方式-單筆(不含貨幣型基金)和定時定額兩者都有,19.0
基金投資方式-單筆或私募基金,1.0
期望投資報酬率-1%~2%,4.0
期望投資報酬率-3%~5%,48.0
期望投資報酬率-6%~8%,36.0
期望投資報酬率-9%~12%,9.0
期望投資報酬率-12%以上,4.0
最大投資損失-1%~2%,38.0
最大投資損失-3%~5%,39.0
最大投資損失-6%~8%,20.0
最大投資損失-9%~12%,3.0
最大投資損失-12%以上,1.0
